Signals-> 0 1 2 3 4 5    6    7    8   9   10  11  12  13   14 15 16 17 18 19 20    21 22 23 24 25 

sample

-77       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-76       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-75       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-74       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-73       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-72       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-71       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-70       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-69       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-68       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-67       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-66       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-65       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-64       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-63       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-62       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-61       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-60       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-59       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-58       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-57       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-56       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
